feature,importance
roadway_surface_cond,0.0006824969831753214
weather_condition,0.0014507734161521766
lighting_condition,0.0015144998973713147
crash_day_of_week,0.0027748888266651913
prim_contributory_cause,0.004044061525471723
traffic_control_device,0.005321582949535333
crash_month,0.00609933420930547
crash_hour,0.00671516127904292
num_units,0.007793495478772453
damage,0.05775857349697734
first_crash_type,0.0931383547916338
crash_type,0.8127067771458969
