Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Decision Tree,0.7824996416798051,0.727555931575456,0.7824996416798051,0.7246647014901393,0.40206408500671387
Logistic Regression,0.7629831350628254,0.6556328741086417,0.7629831350628254,0.6982630032862784,21.279897689819336
